Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Channels,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
"Machine Gun Kelly","my ex's best friend (with blackbear)","Tickets To My Downfall",album,0.731,0.675,-5.134,0.0434,0.00473,0,0.141,0.298,124.939,2.32435,"Machine Gun Kelly ft. blackbear - my ex's best friend (Official Music Video)",MGKVEVO,102439463,1072165,33820,TRUE,TRUE,574531280,4.787234043,Spotify
"Machine Gun Kelly","I Think I'm OKAY (with YUNGBLUD & Travis Barker)","Hotel Diablo",album,0.628,0.744,-4.718,0.0379,0.0257,0,0.313,0.277,119.921,2.823283333,"Machine Gun Kelly - I Think I'm OKAY [Official Music Video]",MGKVEVO,111974897,1198821,47830,TRUE,TRUE,426759364,2.376996805,Spotify
"Machine Gun Kelly","maybe (feat. Bring Me The Horizon)","mainstream sellout",album,0.601,0.92,-4.802,0.0505,0.000735,0,0.0998,0.537,88.014,2.835566667,"Machine Gun Kelly - maybe feat. Bring Me The Horizon (Official Music Video)",MGKVEVO,20170299,294321,10253,TRUE,TRUE,90825980,9.218436874,Spotify
"Machine Gun Kelly","Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha) [From Bright: The Album]",single,0.653,0.718,-5.232,0.213,0.00413,0,0.0537,0.216,82.034,3.380083333,"Machine Gun Kelly, X Ambassadors & Bebe Rexha - Home (from Bright: The Album) [Official Video]","Atlantic Records",206242355,1923118,31427,TRUE,TRUE,382579404,13.37057728,Spotify
"Machine Gun Kelly","forget me too (feat. Halsey)","Tickets To My Downfall",album,0.654,0.875,-4.845,0.0744,0.000417,0.0086,0.194,0.522,99.975,2.86035,"Machine Gun Kelly ft. Halsey - forget me too (Official Music Video)",MGKVEVO,68116200,854345,30673,TRUE,TRUE,254290993,4.510309278,Spotify
"Machine Gun Kelly","bloody valentine","Tickets To My Downfall",album,0.533,0.858,-4.212,0.0766,0.00021,0,0.148,0.506,160.057,3.419316667,"Machine Gun Kelly - Bloody Valentine [Official Video]",MGKVEVO,117833946,1278216,71379,TRUE,TRUE,280845476,5.797297297,Spotify
"Machine Gun Kelly","Bad Things (with Camila Cabello)",bloom,album,0.697,0.691,-4.757,0.146,0.214,0,0.185,0.305,137.853,3.988216667,"Machine Gun Kelly, Camila Cabello - Bad Things (Official Music Video)",MGKVEVO,449712619,3621125,110107,TRUE,TRUE,615784555,3.735135135,Spotify
"Machine Gun Kelly","make up sex (feat. blackbear)","mainstream sellout",album,0.665,0.678,-4.122,0.0315,0.00156,0,0.474,0.682,131.986,2.042833333,"Machine Gun Kelly, blackbear - make up sex ft. blackbear (Official Music Video)",MGKVEVO,15391210,182210,7137,TRUE,TRUE,67878913,1.430379747,Spotify
"Machine Gun Kelly","F*CK YOU, GOODBYE (feat. Machine Gun Kelly)","F*CK LOVE 3+: OVER YOU",album,0.721,0.632,-6.695,0.0358,0.0693,0,0.291,0.296,92.057,2.414333333,"The Kid LAROI - F*CK YOU, GOODBYE (Lyrics) (feat. Machine Gun Kelly)","Vibe Music",35856519,335937,3392,TRUE,TRUE,212221697,2.171821306,Spotify
"Machine Gun Kelly","ay! (feat. Lil Wayne)","mainstream sellout",album,0.742,0.617,-6.689,0.0345,0.05,0.0000592,0.0711,0.491,147.002,2.0698,"Machine Gun Kelly & Lil Wayne - ay! (Official Music Video)",MGKVEVO,19671018,273280,13598,TRUE,TRUE,62736773,8.677918425,Spotify
